"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060294","cilium movement involved in cell motility","98/4550","222/18860",0.441441441441441,1.82979902979903,7.01285675307908,4.00955866405506e-11,2.26904569852207e-08,1.90463628788223e-08,"152015/7802/54763/480/80127/138162/149465/90506/26074/585/79846/79925/55726/83853/644890/1767/134121/85413/8632/54777/338879/1672/55036/64800/84223/154865/164395/22873/80217/56171/84074/158787/126075/54970/23639/129881/9576/220136/25790/389799/642987/122664/55779/5360/27019/6652/79816/388701/10566/339778/6863/83659/345895/132954/115948/27285/200523/203074/79659/26206/159686/126820/1770/8701/9148/219681/139212/1768/92749/127003/84688/26330/399949/150483/93190/6869/255101/146279/146845/440585/107983988/200373/11189/81492/54514/57119/1235/286464/6870/284076/50487/63978/6866/164714/5232/374768/126402/6406",98
"GO:0006959","humoral immune response","125/4550","307/18860",0.407166123778502,1.68772595482693,6.85050743656582,7.13733644808294e-11,3.70249328244303e-08,3.10787176563892e-08,"2625/128822/3263/671/5266/9156/4316/6374/4851/5646/721/6364/2919/25818/2597/720/6590/596/1672/128821/5650/27242/3627/5443/57115/114771/11005/3853/57829/26525/7018/2627/9547/2921/6355/730249/6354/133/6362/7124/3576/566/1675/1379/6372/6357/2220/722/6373/9308/6376/3346/8970/1511/6280/6863/733/4922/283/5657/3458/78989/354/5197/6358/6369/3500/6370/6283/6038/10344/3507/10578/629/2302/796/2244/5450/6352/5473/3501/1755/28912/3502/54210/5196/4069/5967/5225/3456/5133/6346/6360/117159/4283/84659/338376/128488/922/1235/730/1991/1380/8346/149708/3605/6278/112744/3497/10877/6700/140832/3495/1673/4879/81494/3347/164237/2243/3446/4852/85569/3439/6406/1669",125
"GO:0001539","cilium or flagellum-dependent cell motility","98/4550","225/18860",0.435555555555556,1.80540170940171,6.85305660843979,1.00880519782544e-10,4.48558025461671e-08,3.76519473835e-08,"152015/7802/54763/480/80127/138162/149465/90506/26074/585/79846/79925/55726/83853/644890/1767/134121/85413/8632/54777/338879/1672/55036/64800/84223/154865/164395/22873/80217/56171/84074/158787/126075/54970/23639/129881/9576/220136/25790/389799/642987/122664/55779/5360/27019/6652/79816/388701/10566/339778/6863/83659/345895/132954/115948/27285/200523/203074/79659/26206/159686/126820/1770/8701/9148/219681/139212/1768/92749/127003/84688/26330/399949/150483/93190/6869/255101/146279/146845/440585/107983988/200373/11189/81492/54514/57119/1235/286464/6870/284076/50487/63978/6866/164714/5232/374768/126402/6406",98
"GO:0060285","cilium-dependent cell motility","98/4550","225/18860",0.435555555555556,1.80540170940171,6.85305660843979,1.00880519782544e-10,4.48558025461671e-08,3.76519473835e-08,"152015/7802/54763/480/80127/138162/149465/90506/26074/585/79846/79925/55726/83853/644890/1767/134121/85413/8632/54777/338879/1672/55036/64800/84223/154865/164395/22873/80217/56171/84074/158787/126075/54970/23639/129881/9576/220136/25790/389799/642987/122664/55779/5360/27019/6652/79816/388701/10566/339778/6863/83659/345895/132954/115948/27285/200523/203074/79659/26206/159686/126820/1770/8701/9148/219681/139212/1768/92749/127003/84688/26330/399949/150483/93190/6869/255101/146279/146845/440585/107983988/200373/11189/81492/54514/57119/1235/286464/6870/284076/50487/63978/6866/164714/5232/374768/126402/6406",98
"GO:0030900","forebrain development","159/4550","419/18860",0.379474940334129,1.57294447795641,6.68763446579994,1.34258048831579e-10,5.57170902651054e-08,4.67689090806989e-08,"2066/9095/1749/123016/6491/2146/7804/585/1956/7832/89927/5080/4851/5013/2255/5914/259266/9928/139411/59336/1767/1021/3747/2049/130574/7101/5992/79600/2691/22903/2290/23287/63950/6926/6496/3362/650/8091/2016/54149/4781/2737/6608/146760/5457/1869/6715/2890/85440/284403/5454/477/10642/30062/238/7301/374946/10460/64211/6513/429/3400/10818/9355/2624/7545/2692/27086/10215/2637/2048/347733/652/89839/55118/6506/6092/5629/65078/55636/166614/56920/554/220/4036/5915/5455/9760/3737/145258/25806/26050/22943/79659/4929/7022/431707/6331/10716/63827/57282/10501/4808/1746/1996/3746/6585/26047/2353/66000/51176/151449/3670/64919/10371/50937/8022/5015/79625/1600/886/2253/7080/2735/23440/9001/55079/84623/1000/23657/6887/1141/1638/27023/5308/5649/50674/1943/389549/7476/26038/6656/9723/10718/5626/1745/7143/1813/7547/1812/170302/5079/140679/170825/6658/137814/474/5078/4852",159
"GO:0051783","regulation of nuclear division","70/4550","147/18860",0.476190476190476,1.9738356881214,6.68371397618896,4.39451122517478e-10,1.70973952354456e-07,1.43515485011629e-07,"84072/55143/157313/991/7272/10403/1111/10635/9212/699/83903/5347/220134/9319/221150/9787/11065/332/26271/54908/3619/1063/4288/83540/27085/6790/4085/7039/701/79866/3552/1761/10361/4488/1104/348654/2827/891/147841/55512/146691/57082/9700/4751/8877/57405/7124/652/346673/995/143471/441161/255324/1618/9088/3976/84101/1843/685/8379/56155/2253/1906/655/388553/1814/339345/118471/56979/1908",70
"GO:0030317","flagellated sperm motility","89/4550","203/18860",0.438423645320197,1.8172900990635,6.60159021616585,4.77758635966843e-10,1.74943971111388e-07,1.46847917581387e-07,"152015/7802/54763/480/80127/138162/149465/90506/26074/585/79846/79925/55726/83853/644890/1767/134121/85413/338879/1672/55036/64800/84223/154865/164395/22873/80217/84074/158787/126075/54970/23639/129881/9576/220136/25790/389799/642987/122664/55779/5360/27019/6652/79816/388701/10566/339778/6863/83659/132954/115948/27285/200523/203074/26206/159686/8701/9148/219681/139212/92749/127003/84688/26330/399949/150483/93190/6869/255101/146279/146845/440585/107983988/200373/11189/81492/54514/57119/1235/286464/6870/50487/63978/6866/164714/5232/374768/126402/6406",89
"GO:0042445","hormone metabolic process","103/4550","246/18860",0.41869918699187,1.73553113553114,6.54777838453286,5.23529679933235e-10,1.81054014310244e-07,1.5197668603442e-07,"2099/2625/3169/339761/5653/8614/51200/7366/54760/283987/169026/8912/157506/8228/1359/10202/117247/650/3295/6715/51083/1589/7173/10720/115111/59272/654/2692/6817/8528/7363/133/7923/56603/174/6121/59342/84649/54490/1511/90527/1545/6783/5046/7941/7367/27344/7364/220/441282/64377/56605/1733/50506/3249/158835/25825/15/51301/27284/54905/5122/3991/1215/1081/1363/83539/9227/121214/2690/53905/1592/1562/53630/1958/3294/653/3952/5947/389434/1558/195814/4224/126/1646/1588/1586/8608/405753/125/9718/1543/50700/1109/1428/1584/2834/5406/2516/57016/3283/54658/131",103
"GO:0097722","sperm motility","89/4550","204/18860",0.436274509803922,1.80838181426417,6.54587282917081,6.48518754424943e-10,2.12475223489225e-07,1.78351639721076e-07,"152015/7802/54763/480/80127/138162/149465/90506/26074/585/79846/79925/55726/83853/644890/1767/134121/85413/338879/1672/55036/64800/84223/154865/164395/22873/80217/84074/158787/126075/54970/23639/129881/9576/220136/25790/389799/642987/122664/55779/5360/27019/6652/79816/388701/10566/339778/6863/83659/132954/115948/27285/200523/203074/26206/159686/8701/9148/219681/139212/92749/127003/84688/26330/399949/150483/93190/6869/255101/146279/146845/440585/107983988/200373/11189/81492/54514/57119/1235/286464/6870/50487/63978/6866/164714/5232/374768/126402/6406",89
"GO:0007389","pattern specification process","176/4550","486/18860",0.362139917695473,1.50108985664541,6.31069370612868,1.03797176714976e-09,3.23068712525364e-07,2.71183781691127e-07,"2296/3169/2019/2066/367/5460/123016/138162/6491/7475/8646/123872/585/7832/5080/203286/23432/4010/56033/658/4851/352909/5013/2255/3239/7516/1767/6405/79600/2303/9742/8553/57728/6790/2290/5100/55036/63950/4281/6926/4488/6496/650/7704/2016/2737/6608/6422/3212/23639/8092/3955/57669/30062/4188/58524/220136/1045/25790/429/56917/5087/10818/79192/9355/10512/10683/7545/3211/2637/57619/7044/27019/56603/3234/652/6615/6092/3213/25928/3207/57453/257/1482/8313/83538/2348/130497/5046/144165/441161/221400/4036/5727/2297/115948/6939/5076/57822/3215/65009/3087/145258/128344/4824/25806/3221/22943/3237/79659/6423/1952/6781/168507/3222/10716/1746/3214/221833/51176/3170/9573/3219/3670/60529/57216/50937/1044/23493/8701/3216/2302/9464/8022/4838/6862/5015/92749/2253/7080/3238/391723/2735/1906/55079/146845/653/655/164781/50805/56165/6493/27023/5308/5649/389549/7476/10736/497189/6656/343930/9350/6997/10718/5626/121643/1745/134701/7547/2626/4618/2528/120237/170825/55997/9421",176
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","113/4550","281/18860",0.402135231316726,1.66687262915021,6.35082428868018,1.37027453536326e-09,4.06188522982681e-07,3.40954525992142e-07,"1131/5613/9568/2835/23432/4986/5733/107/10411/10149/776/115/2691/2696/9630/3362/8685/3627/5443/2827/136/5746/9368/1113/2916/111/2914/7433/5578/2899/5064/2692/4886/133/797/5997/53637/5737/768239/10268/6373/6954/10266/9495/57211/150/2358/554/2770/79924/5138/6752/2861/7434/2852/10267/222487/1128/165140/112609/113/5567/2740/59350/7253/2779/1816/2912/3355/114/796/54112/4543/4887/266977/799/5142/221393/5196/1906/2830/116/23284/10846/3640/4842/23566/4283/9340/5744/2917/1814/100506013/387695/4142/3354/2849/1813/4160/846/3375/153/1812/139378/11255/346562/2695/4988/4159/122042/83550/4158/222545",113
"GO:0009914","hormone transport","132/4550","343/18860",0.384839650145773,1.59518149488995,6.27272687878337,1.74735125697629e-09,4.94420980667155e-07,4.15016824862694e-07,"2625/18/23428/6833/3767/1131/6664/185/7200/8938/131177/8140/169026/10815/94121/55638/4986/9501/4067/1408/10411/9607/59341/65266/2691/2696/117247/3708/10874/4602/6926/7447/8091/5443/5799/6566/51083/25924/55512/1113/51305/111/4828/3667/5578/2661/301/6720/57393/654/2692/2151/1946/2867/6571/7124/5019/3651/952/84634/100507043/55636/401258/2922/6863/28231/150/2697/80223/2770/7021/2297/3458/91608/4824/2852/3976/222546/51738/668/4843/55503/2740/114899/1080/3745/1081/3170/1363/3670/7036/26154/6927/114/5243/7349/2244/6352/57818/886/8989/1906/116/6869/3952/152/6755/4826/6616/1588/56729/9971/8074/7425/83795/2864/9370/84417/54097/3358/1428/50487/1813/4160/846/1908/2695/2243/10599/6514/10050/222545",132
"GO:0051784","negative regulation of nuclear division","38/4550","64/18860",0.59375,2.46112637362637,6.6022240832873,1.84433739596491e-09,4.99173925647025e-07,4.19006445472303e-07,"84072/55143/991/7272/10403/1111/9212/699/83903/5347/220134/9319/221150/332/26271/54908/3619/1063/83540/27085/4085/701/1761/348654/891/147841/146691/57082/57405/652/3976/84101/1843/8379/56155/655/339345/118471",38
"GO:0042391","regulation of membrane potential","171/4550","474/18860",0.360759493670886,1.49536792321602,6.15911957568129,2.47939614865666e-09,6.4309337605782e-07,5.39812389558406e-07,"18/8326/4137/6833/3767/1029/480/1824/3760/9498/3755/84866/23704/8645/1811/3787/1258/3752/23171/8912/4233/3783/6532/1138/776/3747/483/2558/8898/6511/23630/6332/3756/596/9630/140730/8001/642938/151647/9312/2890/64208/3359/51305/477/10962/84275/6327/83959/2900/9783/1139/2899/388135/4355/56853/2743/2904/2891/55584/1756/7124/3754/1525/9177/27012/10052/3778/3759/2742/63895/9424/6324/3743/6863/2697/2903/81033/213/4923/3737/30820/6512/1201/2852/27133/3766/131096/8973/3751/1128/2906/845/51738/40/1135/6330/6331/2567/259232/9722/2902/3746/1080/3745/66000/11149/375611/2555/4693/3765/1634/124925/8671/22999/8838/6262/84941/54112/23620/4887/9481/6329/149461/8989/1143/1906/6869/8929/2897/2257/169522/170572/1141/5026/285242/3742/90134/4842/2569/948/6326/5649/6543/3785/6569/2556/4653/610/54831/7476/170850/869/10369/57369/10021/83795/3739/10242/88/2895/2893/1144/6000/1813/846/153/1812/6323/1142/3744",171
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","64/4550","135/18860",0.474074074074074,1.96506308506309,6.34536905595791,3.03071964099673e-09,7.54649190608185e-07,6.33452307280326e-07,"671/4316/6374/6364/2919/25818/2597/1672/5650/3627/5443/57115/114771/11005/3853/9547/2921/6355/6354/133/6362/3576/6372/6357/6373/6376/3346/8970/6280/6863/4922/283/354/5197/6358/6369/6370/6283/10344/10578/796/6352/5473/1755/5196/5967/5225/6346/6360/117159/4283/84659/1991/8346/3605/6278/112744/1673/4879/3347/4852/85569/6406/1669",64
"GO:0015711","organic anion transport","168/4550","466/18860",0.360515021459227,1.49435457246616,6.09310461032283,3.61785805076657e-09,8.66198706385457e-07,7.27086937813977e-07,"57348/18/23428/6833/80736/9120/25800/29015/5321/9498/115019/157724/6542/1811/2173/7200/2171/5205/81796/8140/55144/11001/8884/4067/54677/55117/11254/5743/6511/120103/117247/85320/81031/60386/5465/113235/7369/51700/51706/221074/6566/10991/6505/9368/10560/8399/477/115111/83959/4828/320/151176/118980/11182/59272/6513/301/80727/6583/388662/123/57393/553/368/6579/151258/6538/8792/391013/1579/1381/5997/353189/10861/94097/7124/255189/6506/32/387700/201780/6509/387775/79581/9429/2348/28231/2697/6518/4547/4036/6535/1836/4923/9497/6512/1201/3766/81539/255022/4843/57282/189/1066/1080/9075/375611/55867/283600/2912/28234/64849/5243/283238/83733/8671/28965/83546/634/10257/441168/2352/284111/1906/6582/153201/155184/387601/6534/3952/5947/23657/54716/8529/948/2917/54831/2172/64600/144195/57084/1814/9971/80763/6860/762/56923/119395/1109/646486/26279/84889/8647/50487/1813/846/4889/116085/133482/9376/5375/140679/10599/646480/6555/6514/10050/6568",168
"GO:0007411","axon guidance","99/4550","243/18860",0.407407407407407,1.68872608872609,6.0931242371748,6.33842269285439e-09,1.46135856529698e-06,1.2266639472643e-06,"2625/2676/1749/123016/51466/323/8543/2047/5080/658/4851/5979/2049/6405/2051/2290/59277/3800/4781/2737/6608/220202/56896/7869/8399/54437/374946/2045/9355/10512/9369/5818/2637/3897/85449/64843/2048/347733/1002/1946/214/5754/11023/91653/6092/57453/4753/7422/8997/644168/6324/56920/90249/5727/80031/2297/153478/3908/137970/5588/10716/59352/1630/10501/6585/6586/10381/151449/3670/4693/57216/64919/10371/8022/3730/5015/2253/7080/9211/1906/55079/655/5649/23114/4684/2636/2042/23767/1943/389549/9723/7143/84665/170302/56956/1908/53942/474/5458",99
"GO:0097485","neuron projection guidance","99/4550","244/18860",0.405737704918033,1.68180508016574,6.04445533282968,8.16132603095894e-09,1.81443766223998e-06,1.52303843675489e-06,"2625/2676/1749/123016/51466/323/8543/2047/5080/658/4851/5979/2049/6405/2051/2290/59277/3800/4781/2737/6608/220202/56896/7869/8399/54437/374946/2045/9355/10512/9369/5818/2637/3897/85449/64843/2048/347733/1002/1946/214/5754/11023/91653/6092/57453/4753/7422/8997/644168/6324/56920/90249/5727/80031/2297/153478/3908/137970/5588/10716/59352/1630/10501/6585/6586/10381/151449/3670/4693/57216/64919/10371/8022/3730/5015/2253/7080/9211/1906/55079/655/5649/23114/4684/2636/2042/23767/1943/389549/9723/7143/84665/170302/56956/1908/53942/474/5458",99
"GO:0035082","axoneme assembly","53/4550","107/18860",0.495327102803738,2.05315805689637,6.16020660828014,1.01703738287254e-08,2.18312334771778e-06,1.8325130920433e-06,"51364/25876/80127/138162/149465/90506/123872/89765/79846/83544/79925/352909/644890/1767/146562/8632/54777/55036/84223/80217/56171/54970/23639/23116/9576/6101/55779/27019/200162/94137/89876/83538/345895/132954/115948/27285/136332/159686/126820/160762/9148/2302/139212/93233/92749/399949/255101/1641/164781/81492/286464/50487/164714",53
"GO:0045839","negative regulation of mitotic nuclear division","34/4550","57/18860",0.596491228070175,2.47248891459418,6.2779969513995,1.11138735462086e-08,2.30612876083829e-06,1.93576379941683e-06,"55143/991/7272/10403/1111/9212/699/83903/5347/220134/9319/221150/332/26271/54908/3619/1063/83540/27085/4085/701/348654/891/147841/146691/57082/57405/652/84101/1843/8379/56155/655/118471",34
"GO:0007088","regulation of mitotic nuclear division","57/4550","119/18860",0.478991596638655,1.98544648628682,6.08072492214009,1.36157156967571e-08,2.73412355523591e-06,2.29502250318174e-06,"55143/157313/991/7272/10403/1111/9212/699/83903/5347/220134/9319/221150/9787/11065/332/26271/54908/3619/1063/4288/83540/27085/6790/4085/7039/701/79866/3552/1761/1104/348654/891/147841/55512/146691/57082/9700/4751/8877/57405/7124/652/995/255324/9088/84101/1843/685/8379/56155/2253/1906/655/1814/118471/1908",57
"GO:0006813","potassium ion transport","97/4550","240/18860",0.404166666666667,1.67529304029304,5.9368116122982,1.45143390845032e-08,2.82349252503227e-06,2.3700387899827e-06,"6833/3767/60598/480/3760/9132/3755/23704/8645/3787/1258/4986/3752/3783/776/3747/483/65266/23630/3756/79041/9312/51083/389816/5621/53826/51305/10479/477/3761/3754/10089/25769/27012/3778/3759/9424/53827/3743/150/81033/495/3780/496/343450/3249/3737/30818/30820/284525/27133/3766/131096/3751/3779/845/259232/9722/3356/3746/3745/1804/3765/6557/3772/53822/3773/219527/56660/157855/100134444/169522/3742/90134/4842/389015/6616/3758/3785/610/479/170850/53828/57084/1814/10021/83795/3739/10242/88/3763/1813/57628/1812/23439/1908/3744",97
"GO:0015849","organic acid transport","133/4550","357/18860",0.372549019607843,1.54423615600086,5.85390453669442,1.60731032231773e-08,3.03197174437207e-06,2.54503618500325e-06,"57348/18/23428/6833/9120/29015/5321/115019/157724/6542/1811/2173/7200/2171/5205/8140/55144/11001/8884/4067/54677/55117/11254/5743/6511/120103/117247/85320/5465/113235/7369/6566/10991/6505/9368/10560/8399/477/115111/4828/320/151176/118980/59272/6513/301/80727/6583/388662/123/57393/553/368/6579/151258/6538/8792/391013/1579/1381/5997/10861/94097/7124/255189/6506/32/387700/201780/6509/9429/222962/2348/28231/2697/4036/6535/1836/4923/6512/1201/3766/81539/4843/189/1066/9075/375611/55867/2912/28234/64849/5243/83733/28965/634/10257/2352/284111/1906/6582/153201/6534/3952/5947/23657/54716/8529/948/2917/2172/64600/57084/1814/9971/80763/6860/56923/1109/646486/26279/84889/8647/50487/1813/846/4889/9376/5375/140679/10599/646480/6555",133
"GO:0046879","hormone secretion","125/4550","331/18860",0.377643504531722,1.56535307592709,5.85130824656567,1.72891015615585e-08,3.16543109472651e-06,2.65706192419741e-06,"2625/18/6833/3767/1131/6664/185/7200/8938/131177/169026/10815/94121/55638/4986/9501/4067/1408/10411/9607/59341/65266/2691/2696/117247/3708/10874/4602/6926/7447/8091/5443/5799/6566/51083/25924/55512/1113/51305/111/4828/3667/5578/2661/301/6720/57393/654/2692/2151/1946/2867/6571/7124/5019/3651/952/84634/100507043/55636/401258/2922/6863/150/2697/80223/2770/7021/2297/3458/91608/4824/2852/3976/222546/51738/668/4843/55503/2740/114899/1080/3745/1081/3170/1363/3670/7036/26154/6927/114/7349/2244/6352/57818/886/8989/1906/116/6869/3952/152/6755/4826/6616/1588/56729/9971/8074/7425/83795/2864/9370/84417/54097/3358/50487/1813/4160/846/1908/2695/2243/6514/222545",125
"GO:0046942","carboxylic acid transport","132/4550","356/18860",0.370786516853933,1.53693048524509,5.76707319374349,2.52832047097617e-08,4.46558749415863e-06,3.74841282113777e-06,"57348/18/23428/6833/9120/29015/5321/115019/157724/6542/1811/2173/7200/2171/5205/8140/55144/11001/8884/4067/54677/55117/11254/5743/6511/120103/117247/85320/5465/113235/7369/6566/10991/6505/9368/10560/8399/477/115111/4828/320/151176/118980/59272/6513/301/80727/6583/388662/123/57393/553/368/6579/151258/6538/8792/391013/1579/1381/5997/10861/94097/7124/255189/6506/32/387700/201780/6509/9429/2348/28231/2697/4036/6535/1836/4923/6512/1201/3766/81539/4843/189/1066/9075/375611/55867/2912/28234/64849/5243/83733/28965/634/10257/2352/284111/1906/6582/153201/6534/3952/5947/23657/54716/8529/948/2917/2172/64600/57084/1814/9971/80763/6860/56923/1109/646486/26279/84889/8647/50487/1813/846/4889/9376/5375/140679/10599/646480/6555",132
